Content,KC
"<p>Trong các bất phương trình sau, bất phương trình nào là bất phương trình bậc nhất hai ẩn?</p>","14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
"<p>Trong các bất phương trình sau, bất phương trình nào là bất phương trình bậc nhất hai ẩn?</p>","14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Tìm $m$ để bất phương trình $mx+3y-8\le 0$ là bất phương trình bậc nhất hai ẩn?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
"<p>Trong các bất phương trình sau, bất phương trình nào là bất phương trình bậc nhất hai ẩn?</p>","14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
"<p>Trong các bất phương trình sau, bất phương trình nào là bất phương trình bậc nhất hai ẩn?</p>","14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
"<p>Trong các bất phương trình sau, bất phương trình nào <strong>không</strong> phải là bất phương trình bậc nhất hai ẩn?</p>","14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Miền nghiệm của bất phương trình $-6x+8y-15\ge 0$ là nửa mặt phẳng <strong>không</strong> chứa điểm nào trong các điểm sau?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Cặp số nào sau đây là nghiệm của bất phương trình $2x+y-1&gt;0$?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Tìm cặp số là nghiệm của bất phương trình $-2x+y-3\ge 0$</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Cặp số nào sau đây là <strong>không</strong>&nbsp; nghiệm của bất</p><p>phương trình $-5x+3y-19\le 0$?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Điểm $M(-2;1)$ là điểm <strong>không</strong> thuộc miền nghiệm của bất phương trình nào sau đây?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Với giá trị nào của tham số $m$ thì bất phương trình $({{m}^{2}}-9)x+(6+2m)y-5&gt;0$ là bất phương trình bậc nhất hai ẩn.</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Miền nghiệm của bất phương trình $5(x-1)+4(3-y)&gt;2y+9$ là phần mặt phẳng chứa điểm nào trong các điểm sau?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Miền nghiệm của bất phương trình $13(x-y)+4\left( x+{{3}^{2}} \right)\le 3-y$ là phần mặt phẳng <strong>không </strong>chứa điểm nào trong các điểm sau?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Miền nghiệm của bất phương trình $15(y-3)+8(x+2)&lt;x-7y$ là phần mặt phẳng chứa điểm nào?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Miền nghiệm của bất phương trình $25-24(x+y)+10(x+2)\ge -4y+20$ là phần mặt phẳng <strong>không</strong> chứa điểm nào?</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Tìm tất cả các giá trị của tham số $m$ để điểm $B(-1;2)$ thuộc miền nghiệm của bất phương trình bậc nhất hai ẩn $mx+(m+1)y&lt;0$.</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
<p>Tìm giá trị nhỏ nhất của tham số m để điểm $C(-3;2)$ là nghiệm của bất phương trình bậc nhất hai ẩn&nbsp; $m\dfrac{x}{2}-m(y+1)-3\le 0$.</p>,"14.K10.1.1.1 - Nhận biết được bất phương trình bậc nhất hai ẩn, nghiệm của bất phương trình bậc nhất hai ẩn"
